Time,S1_N,S2_N,S3_N,S4_N,Total_N,Accel_X,Accel_Y,Accel_Z,Real_Hz
01:25.5,0,0,0,0,0,2.24,10.04,9.77,20
01:25.7,0,0,0,0,0,0.67,9.81,3.26,5
01:25.8,0,0,0,0,0,0.67,8.75,5.77,8.6
01:25.9,0,0.3,0,1.76,2.06,0.39,8.67,6.12,9.3
01:26.1,0,1.57,1.23,4.95,7.74,0.27,9.34,6,5
01:26.2,0,3.48,5.71,5.17,14.36,0.39,9.22,6.32,8.6
01:26.3,0,6.12,21.7,2.41,30.23,-0.12,8.79,6.35,9.2
01:26.5,0,17.98,31.96,0,49.94,1.14,9.3,6.35,5
01:26.7,1.02,25.13,36.44,0,62.59,1.29,9.73,6.79,8.3
01:26.8,3.36,32.32,31.13,0,66.81,0.63,8.9,7.18,9.3
01:27.0,4.47,39.2,17.28,0,60.96,0.16,7.69,7.69,4.9
01:27.1,5.95,44.28,5.17,0,55.4,0,8.04,7.88,8.6
01:27.2,7.83,47.28,2.53,0,57.64,1.02,8.36,8,8.9
01:27.4,6.07,46.91,0,0,52.97,0.08,11.02,9.3,5
01:27.5,2.65,25.32,0,0,27.96,0.75,8.28,10.08,8.6
01:27.6,0,2.71,0,0,2.71,-0.04,3.96,11.45,9.3
01:27.8,0,0,0,0,0,1.45,9.22,5.41,5
01:27.9,0,0,0,0,0,1.37,11.18,8.16,8.3
01:28.1,0,0,0,0,0,2.43,12.04,8.59,9.3
01:28.3,0,0,0,0,0,3.45,8.43,12.71,5
01:28.4,0,0,0,0,0,0.82,9.65,5.26,8.6
01:28.5,0,0,0,0.3,0.3,0.59,9.3,5.53,9.3
01:28.7,0,1.63,0.29,3.29,5.22,1.22,9.1,6.39,5
01:28.8,0,4.42,3.72,3.59,11.72,0.98,9.22,6.43,8.5
01:28.9,2.19,8.35,7.48,0,18.02,1.02,9.06,6.32,9.3
01:29.1,6.11,22.36,4.59,0,33.07,1.41,9.41,6.75,5
01:29.2,17.82,28.16,0,0,45.98,1.22,8.12,7.45,8.3
01:29.3,21.02,30.84,0,0,51.86,1.65,7.81,7.81,9.3
01:29.5,19.56,28.46,0,0,48.02,1.14,9.57,9.26,4.9
01:29.6,7.41,9.75,0,0,17.16,2.35,8.16,9.49,8.6
01:29.8,0,2.98,0,0,2.98,-0.43,2.82,10.55,9.3
01:30.0,0,0,0,0,0,0.86,7.73,6.35,5
01:30.1,0,0,0,0,0,1.53,10,10.67,8.6
01:30.2,0,0,0,0,0,4.35,12.04,14.51,9.3
01:30.4,0,0,0,0,0,1.33,9.14,6.12,5
01:30.5,0,1.62,0,0,1.62,0.9,9.53,5.92,8.4
01:30.6,0.3,3.54,1.6,0,5.44,1.14,9.14,6,9.2
01:30.8,2.06,5.12,4.85,1.18,13.22,1.06,9.22,6,5
01:30.9,3.47,6.11,8.22,3,20.8,1.06,9.22,5.92,8.5
01:31.0,3.94,6.32,19.36,4.5,34.12,1.1,9.18,5.92,9.3
01:31.2,1.87,5.49,20.87,5.97,34.19,1.06,9.22,5.96,5
01:31.4,0.74,4.24,20.65,7.21,32.84,1.06,9.26,5.96,8.6
01:31.5,0.62,3.34,18.85,8.08,30.89,1.06,9.3,5.92,9.2
01:31.7,0,2.56,17.51,8.56,28.62,0.98,9.26,5.88,5
01:31.8,0,1.97,17.14,8.81,27.92,1.06,9.26,6,8.4
01:31.9,0.14,2.4,16.96,8.66,28.16,1.06,9.22,6,9.3
01:32.1,0.25,2.81,17.24,8.58,28.88,1.1,9.22,5.92,4.9
01:32.2,0.48,3.21,17.91,8.97,30.57,1.18,9.26,6.08,8.6
01:32.3,0.73,3.45,18.25,8.81,31.24,0.98,9.18,6.04,9.2
01:32.5,1.14,4.18,19.91,8.19,33.43,1.1,9.18,6.08,5
01:32.6,2.07,5.47,23.03,7.78,38.35,1.1,9.14,6.04,8.5
01:32.7,3.37,7.07,26.55,7.52,44.52,1.14,9.1,6.12,9.3
01:32.9,5.79,8.99,30.46,8,53.24,1.1,9.18,6.16,5
01:33.1,7.95,17.57,33.16,8.38,67.06,0.98,9.22,6.24,8.4
01:33.2,17.27,18.22,34.67,8.86,79.02,1.02,9.22,6.08,9.2
01:33.4,17.88,9.41,31.41,8.75,67.46,0.98,9.22,6.08,5
01:33.5,8.63,7.75,23.46,7.55,47.39,1.02,9.26,6,8.6
01:33.6,5.46,5.17,8.16,5.45,24.24,1.02,9.3,6,9.2
01:33.8,0,0,0,0,0,1.1,9.53,5.88,4.9
01:33.9,0,0,0,0,0,-2.94,10.16,3.92,8.6
01:34.0,0,0,0,0,0,1.88,10.04,4.9,9.3
01:34.2,0,0,0,0,0,3.73,16.28,5.81,5
01:34.3,0,0,0,0,0,0.98,9.34,5.92,8.3
01:34.5,0,0.17,0,0.07,0.24,0.9,9.14,5.69,9.3
01:34.7,0.79,1.97,2.94,2.86,8.57,0.9,9.22,5.96,4.9
01:34.8,1.75,3.73,7.18,6.04,18.7,0.9,9.3,6.08,8.6
01:34.9,0.41,3.52,17.33,6.58,27.83,0.86,9.49,5.92,9.2
01:35.1,0,0.01,2.98,0,2.99,7.73,9.85,3.84,5
01:35.2,0,0,0,0,0,0.51,9.02,6.24,8.6
01:35.3,0,0,0,0,0,0.35,9.26,6.04,9.2
01:35.5,0,0,0,0,0,1.57,9.69,4.59,5
01:35.6,0,0,0,0,0,0.98,9.73,5.3,8.3
01:35.7,0,0,0.69,0,0.69,0.82,9.18,5.61,9.3
01:35.9,0,0,2.88,0.68,3.57,0.94,9.41,5.53,4.9
01:36.1,0,0,5,1.86,6.85,0.9,9.38,5.53,8.6
01:36.2,0,0.16,6.98,2.7,9.84,0.75,9.38,5.61,9.3
01:36.4,0,0.13,8.38,2.95,11.47,0.75,9.45,5.65,5
01:36.5,0,0,8.23,2.64,10.87,0.78,9.38,5.65,8.6
01:36.6,0,0,6.98,1.84,8.81,0.86,9.34,5.69,9.2
01:36.8,0,0,6.64,1.24,7.88,0.75,9.41,5.77,5
01:36.9,0,0,6.62,0.92,7.54,0.78,9.34,5.81,8.6
01:37.0,0,0,5.69,0.49,6.18,0.75,9.3,5.81,8.9
01:37.1,0,0,4.94,0.22,5.16,0.71,9.34,5.84,20
01:37.3,0,0,1.68,0,1.68,0.78,9.34,5.77,4.9
01:37.4,0,0,0.47,0,0.47,0.82,9.34,5.69,8.6
01:37.5,0,0,0.2,0,0.2,0.71,9.34,5.77,9.1
01:37.7,0,0,0.32,0,0.32,0.67,9.45,5.69,5
01:37.8,0,0,0.57,0,0.57,0.82,9.34,5.84,8.6
01:37.9,0,0,2,0,2,0.78,9.3,5.81,9.2
01:38.1,0,0,3.97,0,3.97,0.63,9.3,5.77,5
01:38.2,0,0.2,6.35,0,6.55,0.82,9.14,5.61,8.3
01:38.3,0,0.98,8.64,0.49,10.1,0.71,9.34,5.81,9.3
01:38.5,0,1.68,18.64,1.11,21.43,0.71,9.34,5.81,4.9
01:38.7,0,1.62,18.77,1.55,21.94,0.78,9.41,5.88,8.6
01:38.8,0,0.95,16.97,1.67,19.59,0.82,9.26,5.88,9.1
01:39.0,0,0.09,6.8,1.04,7.92,0.75,9.34,5.84,5
01:39.1,0,0,6.26,0.5,6.76,0.75,9.3,5.84,8.6
01:39.2,0,0.18,6.58,0.08,6.84,0.67,9.49,6,9.3
01:39.4,0,0.41,6.45,0.01,6.86,0.78,9.18,5.84,5
01:39.5,0,0.5,6.33,0.18,7.01,0.78,9.3,5.88,8.4
01:39.6,0,0.65,6.47,0.4,7.52,0.63,9.38,5.77,9.1
01:39.8,0,0.43,5.89,0.53,6.85,0.75,9.53,5.88,5
01:39.9,0,0.14,4.92,0.6,5.66,0.75,9.38,5.88,8.5
01:40.1,0,0.03,4.88,0.74,5.65,0.78,9.45,6,8.9
